Neighborhood,Fish_Frys,Fish_Frys_Score
Aspinwall,1,0.0
Wilmerding,1,0.0
Slippery Rock,2,0.2
Crabtree,1,0.0
Wexford,2,0.2
Uniontown,1,0.0
Tyrone,1,0.0
Rochester,2,0.2
Plum,4,0.6
Sewickley,3,0.4
Bethel Park,1,0.0
Kittanning,3,0.4
New Kensington,5,0.8
Connellsville,1,0.0
East Pittsburgh,2,0.2
Belle Vernon,1,0.0
Johnstown,4,0.6
Clairton,1,0.0
Bakerstown,1,0.0
Newry,1,0.0
Altoona,6,1.0
Homestead,2,0.2
Washington,6,1.0
Imler,1,0.0
West Newton,2,0.2
Lucinda,1,0.0
Charleroi,1,0.0
Rennerdale,1,0.0
Meadville,1,0.0
West Mifflin,1,0.0
Jefferson Hills,1,0.0
Ambridge,1,0.0
Allison Park,4,0.6
Windber,1,0.0
Canonsburg,3,0.4
Greenville,1,0.0
Cabot,1,0.0
Gettysburg,1,0.0
Delmont,1,0.0
Hollidaysburg,4,0.6
Richeyville,1,0.0
West View,1,0.0
Warriors Mark,1,0.0
New Eagle,1,0.0
Monessen,1,0.0
Aliquippa,6,1.0
Beaver,1,0.0
Cheswick,1,0.0
Irwin,1,0.0
Verona,1,0.0
West Sunbury,1,0.0
Hiller,1,0.0
Imperial,1,0.0
Finleyville,1,0.0
Beaver Falls,2,0.2
Greensburg,3,0.4
Harrison City,1,0.0
Natrona Heights,2,0.2
Oakdale,2,0.2
Etna,1,0.0
Bentleyville,2,0.2
New Castle,2,0.2
Jeannette,1,0.0
Cranberry Township,2,0.2
Derry,1,0.0
Apollo,2,0.2
North Huntingdon,4,0.6
Coraopolis,2,0.2
Sharpsburg,1,0.0
Presto,1,0.0
Glenshaw,2,0.2
Carnegie,3,0.4
Rankin,1,0.0
North Irwin,1,0.0
Butler,2,0.2
Burgettstown,1,0.0
Monongahela,1,0.0
Ellwood City,1,0.0
Buena Vista,1,0.0
Mc Donald,1,0.0
Oakmont,3,0.4
Elizabeth,2,0.2
Mount Pleasant,1,0.0
Bridgeville,2,0.2
Crafton,1,0.0
Munhall,1,0.0
McMurray,2,0.2
Brownsville,1,0.0
Cassville,1,0.0
Stahlstown,1,0.0
Donora,1,0.0
Herminie,1,0.0
Zelienople,2,0.2
Kersey,1,0.0
Jefferson,1,0.0
Turtle Creek,1,0.0
Grove City,1,0.0
Glassport,1,0.0
Monroeville,1,0.0
Bellvue,1,0.0
Tarentum,1,0.0
Mckeesport,1,0.0
Millvale,2,0.2
Moon Township,1,0.0
McKees Rocks,1,0.0
East Vandergrift,1,0.0
Summerhill,1,0.0
Bairdford,1,0.0
Monaca,1,0.0
Duquesne,1,0.0
Utica,1,0.0
Upper Saint Clair,1,0.0
Grapeville,1,0.0
Latrobe,1,0.0
White Oak,1,0.0
Avonmore,2,0.2
Sharon,1,0.0
Baden,1,0.0
Smock,1,0.0
15237,2,0.2
15216,3,0.4
15219,2,0.2
15222,5,0.8
15218,1,0.0
15236,1,0.0
15238,1,0.0
15203,5,0.8
15206,3,0.4
15212,4,0.6
15234,1,0.0
15221,2,0.2
15227,2,0.2
15207,2,0.2
15205,1,0.0
15215,1,0.0
15224,1,0.0
15220,2,0.2
15201,1,0.0
15231,1,0.0
15226,1,0.0
