Neighborhood,Fish_Frys
Aspinwall,1
Wilmerding,1
Slippery Rock,2
Crabtree,1
Wexford,2
Uniontown,1
Tyrone,1
Rochester,2
Plum,4
Sewickley,3
Bethel Park,1
Kittanning,3
New Kensington,5
Connellsville,1
East Pittsburgh,2
Belle Vernon,1
Johnstown,4
Clairton,1
Bakerstown,1
Newry,1
Altoona,6
Homestead,2
Washington,6
Imler,1
West Newton,2
Lucinda,1
Charleroi,1
Rennerdale,1
Meadville,1
West Mifflin,1
Jefferson Hills,1
Ambridge,1
Allison Park,4
Windber,1
Canonsburg,3
Greenville,1
Cabot,1
Gettysburg,1
Delmont,1
Hollidaysburg,4
Richeyville,1
West View,1
Warriors Mark,1
New Eagle,1
Monessen,1
Aliquippa,6
Beaver,1
Cheswick,1
Irwin,1
Verona,1
West Sunbury,1
Hiller,1
Imperial,1
Finleyville,1
Beaver Falls,2
Greensburg,3
Harrison City,1
Natrona Heights,2
Oakdale,2
Etna,1
Bentleyville,2
New Castle,2
Jeannette,1
Cranberry Township,2
Derry,1
Apollo,2
North Huntingdon,4
Coraopolis,2
Sharpsburg,1
Presto,1
Glenshaw,2
Carnegie,3
Rankin,1
North Irwin,1
Butler,2
Burgettstown,1
Monongahela,1
Ellwood City,1
Buena Vista,1
Mc Donald,1
Oakmont,3
Elizabeth,2
Mount Pleasant,1
Bridgeville,2
Crafton,1
Munhall,1
McMurray,2
Brownsville,1
Cassville,1
Stahlstown,1
Donora,1
Herminie,1
Zelienople,2
Kersey,1
Jefferson,1
Turtle Creek,1
Grove City,1
Glassport,1
Monroeville,1
Bellvue,1
Tarentum,1
Mckeesport,1
Millvale,2
Moon Township,1
McKees Rocks,1
East Vandergrift,1
Summerhill,1
Bairdford,1
Monaca,1
Duquesne,1
Utica,1
Upper Saint Clair,1
Grapeville,1
Latrobe,1
White Oak,1
Avonmore,2
Sharon,1
Baden,1
Smock,1
15237,2
15216,3
15219,2
15222,5
15218,1
15236,1
15238,1
15203,5
15206,3
15212,4
15234,1
15221,2
15227,2
15207,2
15205,1
15215,1
15224,1
15220,2
15201,1
15231,1
15226,1
